id,pdb_id,gpcr_name,gpcr_class,subfamily,uniprot_id,species,description,method,resolution,pubmed_id,deposition_date,reference,gene_name,raw_pdb_file,mapping_pdb_file,fasta
,4GRV,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),THE CRYSTAL STRUCTURE OF THE NEUROTENSIN RECEPTOR NTS1 IN COMPLEX WITH NEUROTENSIN (8-13),x,2.8,23051748,2012-08-27,"WHITE ET AL. STRUCTURE OF THE AGONIST-BOUND NEUROTENSIN RECEPTOR. NATURE. 2012, 490, 508.",Ntsr1,raw_pdbs/4GRV.pdb,mapped_pdb/4GRV_atlas.pdb,fastas/4GRV.fasta
,4IAQ,5-HYDROXYTRYPTAMINE RECEPTOR 1B,a,SEROTONIN RECEPTORS,P28222,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CHIMERIC PROTEIN OF 5-HT1B-BRIL IN COMPLEX WITH DIHYDROERGOTAMINE (PSI COMMUNITY TARGET),x,2.8,23519210,2012-12-07,"WANG ET AL. STRUCTURAL BASIS FOR MOLECULAR RECOGNITION AT SEROTONIN RECEPTORS. SCIENCE. 2013, 340, 610.",HTR1B,raw_pdbs/4IAQ.pdb,mapped_pdb/4IAQ_atlas.pdb,fastas/4IAQ.fasta
,4IAR,5-HYDROXYTRYPTAMINE RECEPTOR 1B,a,SEROTONIN RECEPTORS,P28222,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CHIMERIC PROTEIN OF 5-HT1B-BRIL IN COMPLEX WITH ERGOTAMINE (PSI COMMUNITY TARGET),x,2.7,23519210,2012-12-07,"WANG ET AL. STRUCTURAL BASIS FOR MOLECULAR RECOGNITION AT SEROTONIN RECEPTORS. SCIENCE. 2013, 340, 610.",HTR1B,raw_pdbs/4IAR.pdb,mapped_pdb/4IAR_atlas.pdb,fastas/4IAR.fasta
,4IB4,5-HYDROXYTRYPTAMINE RECEPTOR 2B,a,SEROTONIN RECEPTORS,P41595,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CHIMERIC PROTEIN OF 5-HT2B-BRIL IN COMPLEX WITH ERGOTAMINE,x,2.7,23519215,2012-12-07,"WACKER ET AL. STRUCTURAL FEATURES FOR FUNCTIONAL SELECTIVITY AT SEROTONIN RECEPTORS. SCIENCE. 2013, 340, 615.",HTR2B,raw_pdbs/4IB4.pdb,mapped_pdb/4IB4_atlas.pdb,fastas/4IB4.fasta
,4J4Q,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF ACTIVE CONFORMATION OF GPCR OPSIN STABILIZED BY OCTYLGLUCOSIDE,x,2.65,24038729,2013-02-07,"PARK ET AL. OPSIN, A STRUCTURAL MODEL FOR OLFACTORY RECEPTORS?. ANGEW.CHEM.INT.ED.ENGL. 2013, 52, 11021.",RHO,raw_pdbs/4J4Q.pdb,mapped_pdb/4J4Q_atlas.pdb,fastas/4J4Q.fasta
,4JKV,SMOOTHENED HOMOLOG,f,,Q99835,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN SMOOTHENED 7TM RECEPTOR IN COMPLEX WITH AN ANTITUMOR AGENT,x,2.45,23636324,2013-03-11,"WANG ET AL. STRUCTURE OF THE HUMAN SMOOTHENED RECEPTOR BOUND TO AN ANTITUMOUR AGENT. NATURE. 2013, 497, 338.",SMO,raw_pdbs/4JKV.pdb,mapped_pdb/4JKV_atlas.pdb,fastas/4JKV.fasta
,4K5Y,CORTICOTROPIN-RELEASING FACTOR RECEPTOR 1,b,,P34998,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN CORTICOTROPIN-RELEASING FACTOR RECEPTOR 1 (CRF1R) IN COMPLEX WITH THE ANTAGONIST CP-376395,x,2.98,23863939,2013-04-15,"HOLLENSTEIN ET AL. STRUCTURE OF CLASS B GPCR CORTICOTROPIN-RELEASING FACTOR RECEPTOR 1. NATURE. 2013, 499, 438.",CRHR1,raw_pdbs/4K5Y.pdb,mapped_pdb/4K5Y_atlas.pdb,fastas/4K5Y.fasta
,4L6R,GLUCAGON RECEPTOR,b,,P47871,HOMO SAPIENS (HUMAN),STRUCTURE OF THE CLASS B HUMAN GLUCAGON G PROTEIN COUPLED RECEPTOR,x,3.3,23863937,2013-06-12,"SIU ET AL. STRUCTURE OF THE HUMAN GLUCAGON CLASS B G-PROTEIN-COUPLED RECEPTOR. NATURE. 2013, 499, 444.",GCGR,raw_pdbs/4L6R.pdb,mapped_pdb/4L6R_atlas.pdb,fastas/4L6R.fasta
,4LDE,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),STRUCTURE OF BETA2 ADRENOCEPTOR BOUND TO BI167107 AND AN ENGINEERED NANOBODY,x,2.79,24056936,2013-06-24,"RING ET AL. ADRENALINE-ACTIVATED STRUCTURE OF BETA 2-ADRENOCEPTOR STABILIZED BY AN ENGINEERED NANOBODY. NATURE. 2013, 502, 575.",ADRB2,raw_pdbs/4LDE.pdb,mapped_pdb/4LDE_atlas.pdb,fastas/4LDE.fasta
,4LDL,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),STRUCTURE OF BETA2 ADRENOCEPTOR BOUND TO HYDROXYBENZYLISOPROTERENOL AND AN ENGINEERED NANOBODY,x,3.1,24056936,2013-06-24,"RING ET AL. ADRENALINE-ACTIVATED STRUCTURE OF BETA 2-ADRENOCEPTOR STABILIZED BY AN ENGINEERED NANOBODY. NATURE. 2013, 502, 575.",ADRB2,raw_pdbs/4LDL.pdb,mapped_pdb/4LDL_atlas.pdb,fastas/4LDL.fasta
,4LDO,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),STRUCTURE OF BETA2 ADRENOCEPTOR BOUND TO ADRENALINE AND AN ENGINEERED NANOBODY,x,3.2,24056936,2013-06-24,"RING ET AL. ADRENALINE-ACTIVATED STRUCTURE OF BETA 2-ADRENOCEPTOR STABILIZED BY AN ENGINEERED NANOBODY. NATURE. 2013, 502, 575.",ADRB2,raw_pdbs/4LDO.pdb,mapped_pdb/4LDO_atlas.pdb,fastas/4LDO.fasta
,4MBS,C-C CHEMOKINE RECEPTOR TYPE 5,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P51681,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CCR5 CHEMOKINE RECEPTOR,x,2.71,24030490,2013-08-19,"TAN ET AL. STRUCTURE OF THE CCR5 CHEMOKINE RECEPTOR-HIV ENTRY INHIBITOR MARAVIROC COMPLEX. SCIENCE. 2013, 341, 1387.",CCR5,raw_pdbs/4MBS.pdb,mapped_pdb/4MBS_atlas.pdb,fastas/4MBS.fasta
,4MQS,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08172,HOMO SAPIENS (HUMAN),STRUCTURE OF ACTIVE HUMAN M2 MUSCARINIC ACETYLCHOLINE RECEPTOR BOUND TO THE AGONIST IPEROXO,x,3.5,24256733,2013-09-16,"KRUSE ET AL. ACTIVATION AND ALLOSTERIC MODULATION OF A MUSCARINIC ACETYLCHOLINE RECEPTOR. NATURE. 2013, 504, 101.",CHRM2,raw_pdbs/4MQS.pdb,mapped_pdb/4MQS_atlas.pdb,fastas/4MQS.fasta
,4MQT,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08172,HOMO SAPIENS (HUMAN),STRUCTURE OF ACTIVE HUMAN M2 MUSCARINIC ACETYLCHOLINE RECEPTOR BOUND TO THE AGONIST IPEROXO AND ALLOSTERIC MODULATOR LY2119620,x,3.7,24256733,2013-09-16,"KRUSE ET AL. ACTIVATION AND ALLOSTERIC MODULATION OF A MUSCARINIC ACETYLCHOLINE RECEPTOR. NATURE. 2013, 504, 101.",CHRM2,raw_pdbs/4MQT.pdb,mapped_pdb/4MQT_atlas.pdb,fastas/4MQT.fasta
,4N4W,SMOOTHENED HOMOLOG,f,,Q99835,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN SMOOTHENED RECEPTOR IN COMPLEX WITH SANT-1.,x,2.8,25008467,2013-10-08,"WANG ET AL. STRUCTURAL BASIS FOR SMOOTHENED RECEPTOR MODULATION AND CHEMORESISTANCE TO ANTICANCER DRUGS. NAT COMMUN. 2014, 5, 4355.",SMO,raw_pdbs/4N4W.pdb,mapped_pdb/4N4W_atlas.pdb,fastas/4N4W.fasta
,4N6H,DELTA-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P41143,HOMO SAPIENS (HUMAN),1.8 A STRUCTURE OF THE HUMAN DELTA OPIOID 7TM RECEPTOR (PSI COMMUNITY TARGET),x,1.8,24413399,2013-10-12,"FENALTI ET AL. MOLECULAR CONTROL OF DELTA-OPIOID RECEPTOR SIGNALLING. NATURE. 2014, 506, 191.",OPRD1,raw_pdbs/4N6H.pdb,mapped_pdb/4N6H_atlas.pdb,fastas/4N6H.fasta
,4NC3,5-HYDROXYTRYPTAMINE RECEPTOR 2B,a,SEROTONIN RECEPTORS,P41595,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE 5-HT2B RECEPTOR SOLVED USING SERIAL FEMTOSECOND CRYSTALLOGRAPHY IN LIPIDIC CUBIC PHASE.,x,2.8,24357322,2013-10-23,"LIU ET AL. SERIAL FEMTOSECOND CRYSTALLOGRAPHY OF G PROTEIN-COUPLED RECEPTORS. SCIENCE. 2013, 342, 1521.",HTR2B,raw_pdbs/4NC3.pdb,mapped_pdb/4NC3_atlas.pdb,fastas/4NC3.fasta
,4NTJ,P2Y PURINOCEPTOR 12,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,Q9H244,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN P2Y12 RECEPTOR IN COMPLEX WITH AN ANTITHROMBOTIC DRUG,x,2.62,24670650,2013-12-02,"ZHANG ET AL. STRUCTURE OF THE HUMAN P2Y12 RECEPTOR IN COMPLEX WITH AN ANTITHROMBOTIC DRUG. NATURE. 2014, 509, 115.",P2RY12,raw_pdbs/4NTJ.pdb,mapped_pdb/4NTJ_atlas.pdb,fastas/4NTJ.fasta
,4O9R,SMOOTHENED HOMOLOG,f,,Q99835,HOMO SAPIENS (HUMAN),HUMAN SMOOTHENED RECEPTOR STRUCTURE IN COMPLEX WITH CYCLOPAMINE,x,3.2,24525480,2014-01-02,"WEIERSTALL ET AL. LIPIDIC CUBIC PHASE INJECTOR FACILITATES MEMBRANE PROTEIN SERIAL FEMTOSECOND CRYSTALLOGRAPHY. NAT COMMUN. 2014, 5, 3309.",SMO,raw_pdbs/4O9R.pdb,mapped_pdb/4O9R_atlas.pdb,fastas/4O9R.fasta
,4OO9,METABOTROPIC GLUTAMATE RECEPTOR 5,c,,P41594,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN CLASS C GPCR METABOTROPIC GLUTAMATE RECEPTOR 5 TRANSMEMBRANE DOMAIN IN COMPLEX WITH THE NEGATIVE ALLOSTERIC MODULATOR MAVOGLURANT,x,2.6,25042998,2014-01-31,"DORE ET AL. STRUCTURE OF CLASS C GPCR METABOTROPIC GLUTAMATE RECEPTOR 5 TRANSMEMBRANE DOMAIN. NATURE. 2014, 511, 557.",GRM5,raw_pdbs/4OO9.pdb,mapped_pdb/4OO9_atlas.pdb,fastas/4OO9.fasta
,4OR2,METABOTROPIC GLUTAMATE RECEPTOR 1,c,,Q13255,HOMO SAPIENS (HUMAN),HUMAN CLASS C G PROTEIN-COUPLED METABOTROPIC GLUTAMATE RECEPTOR 1 IN COMPLEX WITH A NEGATIVE ALLOSTERIC MODULATOR,x,2.8,24603153,2014-02-10,"WU ET AL. STRUCTURE OF A CLASS C GPCR METABOTROPIC GLUTAMATE RECEPTOR 1 BOUND TO AN ALLOSTERIC MODULATOR. SCIENCE. 2014, 344, 58.",GRM1,raw_pdbs/4OR2.pdb,mapped_pdb/4OR2_atlas.pdb,fastas/4OR2.fasta
,4PHU,FREE FATTY ACID RECEPTOR 1,a,FREE FATTY ACID RECEPTORS,O14842,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN GPR40 BOUND TO ALLOSTERIC AGONIST TAK-875,x,2.33,25043059,2014-05-07,"SRIVASTAVA ET AL. HIGH-RESOLUTION STRUCTURE OF THE HUMAN GPR40 RECEPTOR BOUND TO ALLOSTERIC AGONIST TAK-875. NATURE. 2014, 513, 124.",FFAR1,raw_pdbs/4PHU.pdb,mapped_pdb/4PHU_atlas.pdb,fastas/4PHU.fasta
,4PXF,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF THE ACTIVE G-PROTEIN-COUPLED RECEPTOR OPSIN IN COMPLEX WITH THE FINGER-LOOP PEPTIDE DERIVED FROM THE FULL-LENGTH ARRESTIN-1,x,2.75,25205354,2014-03-23,"SZCZEPEK ET AL. CRYSTAL STRUCTURE OF A COMMON GPCR-BINDING INTERFACE FOR G PROTEIN AND ARRESTIN. NAT COMMUN. 2014, 5, 4801.",RHO,raw_pdbs/4PXF.pdb,mapped_pdb/4PXF_atlas.pdb,fastas/4PXF.fasta
,4PXZ,P2Y PURINOCEPTOR 12,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,Q9H244,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF P2Y12 RECEPTOR IN COMPLEX WITH 2MESADP,x,2.5,24784220,2014-03-25,"ZHANG ET AL. AGONIST-BOUND STRUCTURE OF THE HUMAN P2Y12 RECEPTOR. NATURE. 2014, 509, 119.",P2RY12,raw_pdbs/4PXZ.pdb,mapped_pdb/4PXZ_atlas.pdb,fastas/4PXZ.fasta
,4PY0,P2Y PURINOCEPTOR 12,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,Q9H244,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF P2Y12 RECEPTOR IN COMPLEX WITH 2MESATP,x,3.1,24784220,2014-03-25,"ZHANG ET AL. AGONIST-BOUND STRUCTURE OF THE HUMAN P2Y12 RECEPTOR. NATURE. 2014, 509, 119.",P2RY12,raw_pdbs/4PY0.pdb,mapped_pdb/4PY0_atlas.pdb,fastas/4PY0.fasta
,4QIM,SMOOTHENED HOMOLOG,f,,Q99835,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN SMOOTHENED RECEPTOR IN COMPLEX WITH ANTA XV,x,2.61,25008467,2014-05-31,"WANG ET AL. STRUCTURAL BASIS FOR SMOOTHENED RECEPTOR MODULATION AND CHEMORESISTANCE TO ANTICANCER DRUGS. NAT COMMUN. 2014, 5, 4355.",SMO,raw_pdbs/4QIM.pdb,mapped_pdb/4QIM_atlas.pdb,fastas/4QIM.fasta
,4QIN,SMOOTHENED HOMOLOG,f,,Q99835,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN SMOOTHENED RECEPTOR IN COMPLEX WITH SAG1.5,x,2.6,25008467,2014-05-31,"WANG ET AL. STRUCTURAL BASIS FOR SMOOTHENED RECEPTOR MODULATION AND CHEMORESISTANCE TO ANTICANCER DRUGS. NAT COMMUN. 2014, 5, 4355.",SMO,raw_pdbs/4QIN.pdb,mapped_pdb/4QIN_atlas.pdb,fastas/4QIN.fasta
,4QKX,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),STRUCTURE OF BETA2 ADRENOCEPTOR BOUND TO A COVALENT AGONIST AND AN ENGINEERED NANOBODY,x,3.3,25006259,2014-06-10,"WEICHERT ET AL. COVALENT AGONISTS FOR STUDYING G PROTEIN-COUPLED RECEPTOR ACTIVATION. PROC.NATL.ACAD.SCI.USA. 2014, 111, 10744.",ADRB2,raw_pdbs/4QKX.pdb,mapped_pdb/4QKX_atlas.pdb,fastas/4QKX.fasta
,4RWA,DELTA-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P41143,HOMO SAPIENS (HUMAN),SYNCHROTRON STRUCTURE OF THE HUMAN DELTA OPIOID RECEPTOR IN COMPLEX WITH A BIFUNCTIONAL PEPTIDE (PSI COMMUNITY TARGET),x,3.28,25686086,2014-12-01,"FENALTI ET AL. STRUCTURAL BASIS FOR BIFUNCTIONAL PEPTIDE RECOGNITION AT HUMAN DELTA-OPIOID RECEPTOR. NAT.STRUCT.MOL.BIOL. 2015, 22, 265.",OPRD1,raw_pdbs/4RWA.pdb,mapped_pdb/4RWA_atlas.pdb,fastas/4RWA.fasta
,4RWD,DELTA-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P41143,HOMO SAPIENS (HUMAN),XFEL STRUCTURE OF THE HUMAN DELTA OPIOID RECEPTOR IN COMPLEX WITH A BIFUNCTIONAL PEPTIDE,x,2.7,25686086,2014-12-02,"FENALTI ET AL. STRUCTURAL BASIS FOR BIFUNCTIONAL PEPTIDE RECOGNITION AT HUMAN DELTA-OPIOID RECEPTOR. NAT.STRUCT.MOL.BIOL. 2015, 22, 265.",OPRD1,raw_pdbs/4RWD.pdb,mapped_pdb/4RWD_atlas.pdb,fastas/4RWD.fasta
,4RWS,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF CXCR4 AND VIRAL CHEMOKINE ANTAGONIST VMIP-II COMPLEX (PSI COMMUNITY TARGET),x,3.1,25612609,2014-12-05,"QIN ET AL. STRUCTURAL BIOLOGY CRYSTAL STRUCTURE OF THE CHEMOKINE RECEPTOR CXCR4 IN COMPLEX WITH A VIRAL CHEMOKINE. SCIENCE. 2015, 347, 1117.",CXCR4,raw_pdbs/4RWS.pdb,mapped_pdb/4RWS_atlas.pdb,fastas/4RWS.fasta
,4S0V,OREXIN RECEPTOR TYPE 2,a,OREXINS RECEPTORS,O43614,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE HUMAN OX2 OREXIN RECEPTOR BOUND TO THE INSOMNIA DRUG SUVOREXANT,x,2.5,25533960,2015-01-06,"YIN ET AL. CRYSTAL STRUCTURE OF THE HUMAN OX2 OREXIN RECEPTOR BOUND TO THE INSOMNIA DRUG SUVOREXANT. NATURE. 2015, 519, 247.",HCRTR2,raw_pdbs/4S0V.pdb,mapped_pdb/4S0V_atlas.pdb,fastas/4S0V.fasta
,4U14,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08483,RATTUS NORVEGICUS (RAT),STRUCTURE OF THE M3 MUSCARINIC ACETYLCHOLINE RECEPTOR BOUND TO THE ANTAGONIST TIOTROPIUM CRYSTALLIZED WITH DISULFIDE-STABILIZED T4 LYSOZYME (DST4L),x,3.57,25450769,2014-07-15,"THORSEN ET AL. MODIFIED T4 LYSOZYME FUSION PROTEINS FACILITATE G PROTEIN-COUPLED RECEPTOR CRYSTALLOGENESIS. STRUCTURE. 2014, 22, 1657.",Chrm3,raw_pdbs/4U14.pdb,mapped_pdb/4U14_atlas.pdb,fastas/4U14.fasta
,4U15,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08483,RATTUS NORVEGICUS (RAT),M3-MT4L RECEPTOR BOUND TO TIOTROPIUM,x,2.8,25450769,2014-07-15,"THORSEN ET AL. MODIFIED T4 LYSOZYME FUSION PROTEINS FACILITATE G PROTEIN-COUPLED RECEPTOR CRYSTALLOGENESIS. STRUCTURE. 2014, 22, 1657.",Chrm3,raw_pdbs/4U15.pdb,mapped_pdb/4U15_atlas.pdb,fastas/4U15.fasta
,4U16,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08483,RATTUS NORVEGICUS (RAT),M3-MT4L RECEPTOR BOUND TO NMS,x,3.7,25450769,2014-07-15,"THORSEN ET AL. MODIFIED T4 LYSOZYME FUSION PROTEINS FACILITATE G PROTEIN-COUPLED RECEPTOR CRYSTALLOGENESIS. STRUCTURE. 2014, 22, 1657.",Chrm3,raw_pdbs/4U16.pdb,mapped_pdb/4U16_atlas.pdb,fastas/4U16.fasta
,4UG2,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED HUMAN A2A RECEPTOR WITH CGS21680 BOUND,x,2.6,25762024,2015-03-21,"LEBON ET AL. MOLECULAR DETERMINANTS OF CGS21680 BINDING TO THE HUMAN ADENOSINE A2A RECEPTOR. MOL.PHARMACOL. 2015, 87, 907.",ADORA2A,raw_pdbs/4UG2.pdb,mapped_pdb/4UG2_atlas.pdb,fastas/4UG2.fasta
,4UHR,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED HUMAN A2A RECEPTOR WITH CGS21680 BOUND,x,2.6,25762024,2015-03-25,"LEBON ET AL. MOLECULAR DETERMINANTS OF CGS21680 BINDING TO THE HUMAN ADENOSINE A2A RECEPTOR. MOL.PHARMACOL. 2015, 87, 907.",ADORA2A,raw_pdbs/4UHR.pdb,mapped_pdb/4UHR_atlas.pdb,fastas/4UHR.fasta
,4WW3,RHODOPSIN,a,OPSINS,P31356,TODARODES PACIFICUS (JAPANESE FLYING SQUID),CRYSTAL STRUCTURE OF THE LUMI INTERMEDIATE OF SQUID RHODOPSIN,x,2.8,26024518,2014-11-10,"MURAKAMI ET AL. CRYSTALLOGRAPHIC STUDY OF THE LUMI INTERMEDIATE OF SQUID RHODOPSIN. PLOS ONE. 2015, 10, E0126970.",RHO,raw_pdbs/4WW3.pdb,mapped_pdb/4WW3_atlas.pdb,fastas/4WW3.fasta
,4X1H,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),OPSIN/G(ALPHA) PEPTIDE COMPLEX STABILIZED BY NONYL-GLUCOSIDE,x,2.29,26526852,2014-11-24,"BLANKENSHIP ET AL. THE HIGH-RESOLUTION STRUCTURE OF ACTIVATED OPSIN REVEALS A CONSERVED SOLVENT NETWORK IN THE TRANSMEMBRANE REGION ESSENTIAL FOR ACTIVATION. STRUCTURE. 2015, 23, 2358.",RHO,raw_pdbs/4X1H.pdb,mapped_pdb/4X1H_atlas.pdb,fastas/4X1H.fasta
,4XEE,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),STRUCTURE OF ACTIVE-LIKE NEUROTENSIN RECEPTOR,x,2.9,26205105,2014-12-23,"KRUMM ET AL. STRUCTURAL PREREQUISITES FOR G-PROTEIN ACTIVATION BY THE NEUROTENSIN RECEPTOR. NAT COMMUN. 2015, 6, 7895.",Ntsr1,raw_pdbs/4XEE.pdb,mapped_pdb/4XEE_atlas.pdb,fastas/4XEE.fasta
,4XES,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),STRUCTURE OF ACTIVE-LIKE NEUROTENSIN RECEPTOR,x,2.6,26205105,2014-12-24,"KRUMM ET AL. STRUCTURAL PREREQUISITES FOR G-PROTEIN ACTIVATION BY THE NEUROTENSIN RECEPTOR. NAT COMMUN. 2015, 6, 7895.",Ntsr1,raw_pdbs/4XES.pdb,mapped_pdb/4XES_atlas.pdb,fastas/4XES.fasta
,4XNV,P2Y PURINOCEPTOR 1,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P47900,HOMO SAPIENS (HUMAN),THE HUMAN P2Y1 RECEPTOR IN COMPLEX WITH BPTU,x,2.2,25822790,2015-01-16,"ZHANG ET AL. TWO DISPARATE LIGAND-BINDING SITES IN THE HUMAN P2Y1 RECEPTOR. NATURE. 2015, 520, 317.",P2RY1,raw_pdbs/4XNV.pdb,mapped_pdb/4XNV_atlas.pdb,fastas/4XNV.fasta
,4XNW,P2Y PURINOCEPTOR 1,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P47900,HOMO SAPIENS (HUMAN),THE HUMAN P2Y1 RECEPTOR IN COMPLEX WITH MRS2500,x,2.7,25822790,2015-01-16,"ZHANG ET AL. TWO DISPARATE LIGAND-BINDING SITES IN THE HUMAN P2Y1 RECEPTOR. NATURE. 2015, 520, 317.",P2RY1,raw_pdbs/4XNW.pdb,mapped_pdb/4XNW_atlas.pdb,fastas/4XNW.fasta
,4XT1,G-PROTEIN COUPLED RECEPTOR HOMOLOG US28,a,VIRAL RECEPTORS,P69332,HUMAN CYTOMEGALOVIRUS (STRAIN AD169) (HHV-5),STRUCTURE OF A NANOBODY-BOUND VIRAL GPCR BOUND TO HUMAN CHEMOKINE CX3CL1,x,2.89,25745166,2015-01-22,"BURG ET AL. STRUCTURAL BIOLOGY STRUCTURAL BASIS FOR CHEMOKINE RECOGNITION AND ACTIVATION OF A VIRAL G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2015, 347, 1113.",US28,raw_pdbs/4XT1.pdb,mapped_pdb/4XT1_atlas.pdb,fastas/4XT1.fasta
,4XT3,G-PROTEIN COUPLED RECEPTOR HOMOLOG US28,a,VIRAL RECEPTORS,P69332,HUMAN CYTOMEGALOVIRUS (STRAIN AD169) (HHV-5),STRUCTURE OF A VIRAL GPCR BOUND TO HUMAN CHEMOKINE CX3CL1,x,3.8,25745166,2015-01-22,"BURG ET AL. STRUCTURAL BIOLOGY STRUCTURAL BASIS FOR CHEMOKINE RECOGNITION AND ACTIVATION OF A VIRAL G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2015, 347, 1113.",US28,raw_pdbs/4XT3.pdb,mapped_pdb/4XT3_atlas.pdb,fastas/4XT3.fasta
,4YAY,TYPE-1 ANGIOTENSIN II RECEPTOR,a,ANGIOTENSIN RECEPTORS,P30556,HOMO SAPIENS (HUMAN),XFEL STRUCTURE OF HUMAN ANGIOTENSIN RECEPTOR,x,2.9,25913193,2015-02-18,"ZHANG ET AL. STRUCTURE OF THE ANGIOTENSIN RECEPTOR REVEALED BY SERIAL FEMTOSECOND CRYSTALLOGRAPHY. CELL. 2015, 161, 833.",AGTR1,raw_pdbs/4YAY.pdb,mapped_pdb/4YAY_atlas.pdb,fastas/4YAY.fasta
,4Z34,LYSOPHOSPHATIDIC ACID RECEPTOR 1,a,LYSOLIPIDS RECEPTORS,Q92633,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN LYSOPHOSPHATIDIC ACID RECEPTOR 1 IN COMPLEX WITH ONO9780307,x,3,26091040,2015-03-30,"CHRENCIK ET AL. CRYSTAL STRUCTURE OF ANTAGONIST BOUND HUMAN LYSOPHOSPHATIDIC ACID RECEPTOR 1. CELL. 2015, 161, 1633.",LPAR1,raw_pdbs/4Z34.pdb,mapped_pdb/4Z34_atlas.pdb,fastas/4Z34.fasta
